Year,Player,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,AV
2015,Fletcher Cox,0,0,0,0,2,3,0,2,0,0,9.5,71,50,21,11,20,0,13
2015,Kawann Short,0,0,0,0,4,3,0,2,0,0,11.0,55,36,19,16,18,0,14
2015,Gerald McCoy,0,0,0,0,1,0,0,0,0,0,8.5,34,26,8,8,17,0,8
2015,Linval Joseph,0,0,0,0,1,1,0,0,0,0,0.5,56,42,14,7,4,0,6
2015,Mike Daniels,1,6,0,6,2,1,0,0,0,0,4.0,49,27,22,7,9,0,9
2016,Aaron Donald,0,0,0,0,5,2,0,0,0,0,8.0,47,36,11,17,31,0,15
2016,Fletcher Cox,0,0,0,0,2,1,0,1,0,0,6.5,43,27,16,9,14,0,10
2016,Gerald McCoy,0,0,0,0,5,2,0,2,0,0,7.0,34,26,8,5,14,0,13
2016,Ndamukong Suh,0,0,0,0,6,0,0,1,0,0,5.0,72,41,31,11,17,0,13
2016,Geno Atkins,0,0,0,0,0,0,0,0,0,0,9.0,32,21,11,13,26,0,11
2016,Mike Daniels,0,0,0,0,1,0,0,1,0,0,4.0,33,25,8,8,11,0,7
2016,Jurrell Casey,0,0,0,0,5,0,0,0,0,0,5.0,44,31,13,8,18,0,11
2016,Damon Harrison,0,0,0,0,2,0,0,0,0,0,0.5,95,63,32,5,2,0,7
2017,Aaron Donald,0,0,0,0,1,5,0,1,0,0,11.0,41,32,9,15,27,0,15
2017,Ndamukong Suh,0,0,0,0,2,2,0,0,0,0,4.5,48,29,19,9,12,0,7
2017,Geno Atkins,0,0,0,0,0,0,0,0,0,0,9.0,46,29,17,10,20,0,10
2017,Jurrell Casey,0,0,0,0,1,1,0,0,0,0,6.0,60,41,19,12,19,0,10
2017,Fletcher Cox,0,0,0,0,2,1,0,2,20,1,5.5,26,15,11,5,17,0,14
2017,Linval Joseph,0,0,0,0,0,0,0,1,0,0,3.5,68,40,28,5,10,0,13
2018,Aaron Donald,0,0,0,0,1,4,0,2,0,0,20.5,59,41,18,25,41,0,16
2018,Fletcher Cox,0,0,0,0,1,1,0,1,3,0,10.5,46,33,13,12,34,0,16
2018,Chris Jones,1,20,1,20,5,2,0,0,0,0,15.5,40,35,5,19,29,0,10
2018,Gerald McCoy,0,0,0,0,1,0,0,0,0,0,6.0,28,17,11,6,21,0,6
2018,Geno Atkins,0,0,0,0,0,0,0,0,0,0,10.0,45,24,21,13,19,0,8
2019,Aaron Donald,0,0,0,0,2,2,0,1,0,0,12.5,48,29,19,20,24,1,14
2019,Chris Jones,0,0,0,0,4,1,0,1,12,0,9.0,36,23,13,8,20,0,9
2019,DeForest Buckner,0,0,0,0,2,2,0,4,12,1,7.5,62,34,28,9,14,0,16
2019,Jurrell Casey,0,0,0,0,0,1,0,2,0,0,5.0,44,26,18,5,10,0,11
2019,Fletcher Cox,0,0,0,0,2,3,0,1,1,0,3.5,40,26,14,5,10,0,11
2019,Cameron Heyward,0,0,0,0,6,1,0,1,0,0,9.0,83,51,32,11,23,0,17
2019,Grady Jarrett,0,0,0,0,0,2,0,0,0,0,7.5,69,38,31,12,16,0,13
2020,Aaron Donald,0,0,0,0,1,4,0,1,0,0,13.5,45,27,18,14,28,0,24
2020,DeForest Buckner,0,0,0,0,3,2,0,1,0,0,9.5,58,37,21,10,26,1,15
2020,Chris Jones,0,0,0,0,4,2,0,0,0,0,7.5,36,23,13,3,28,1,13
2020,Grady Jarrett,0,0,0,0,0,0,0,1,0,0,4.0,52,27,25,8,21,0,10
2020,Cameron Heyward,1,0,0,0,3,0,0,0,0,0,4.0,54,30,24,7,19,0,15
2020,Fletcher Cox,0,0,0,0,1,1,0,0,0,0,6.5,41,28,13,9,9,0,11
2010,Ray Lewis,2,26,1,24,4,2,0,3,1,0,2.0,139,102,37,4,4,0,16
2010,DeMarcus Ware,0,0,0,0,1,2,0,2,22,1,15.5,66,56,10,21,23,0,11
2010,Clay Matthews,1,62,1,62,4,2,0,0,0,0,13.5,60,54,6,18,25,0,17
2010,James Harrison,2,2,0,2,5,6,0,1,0,0,10.5,100,70,30,13,21,0,19
2010,Patrick Willis,0,0,0,0,5,2,0,0,0,0,6.0,128,101,27,9,7,0,14
2010,Jonathan Vilma,1,5,0,5,3,3,0,1,0,0,4.0,105,70,35,6,9,0,9
2010,Terrell Suggs,0,0,0,0,2,2,0,0,0,0,11.0,68,53,15,18,21,0,11
2010,Brian Urlacher,1,0,0,0,10,1,0,3,0,0,4.0,126,97,29,13,5,0,15
2010,Jerod Mayo,0,0,0,0,5,1,0,3,-2,0,2.0,174,113,61,5,5,0,14
2010,LaMarr Woodley,2,22,1,14,5,3,0,2,19,0,10.0,50,35,15,9,16,0,11
2010,Lance Briggs,2,1,0,1,7,1,0,1,0,0,2.0,89,76,13,8,2,0,12
2010,Jon Beason,1,7,0,7,8,2,0,0,0,0,1.0,121,90,31,10,2,0,10
2010,Shaun Phillips,1,31,1,31,7,0,0,1,0,0,11.0,55,47,8,17,12,0,11
2011,DeMarcus Ware,0,0,0,0,2,2,0,1,0,0,19.5,58,48,10,26,29,0,15
2011,Patrick Willis,1,10,0,10,12,4,0,2,0,0,2.0,97,74,23,7,4,0,16
2011,Terrell Suggs,2,9,0,9,6,7,0,0,0,0,14.0,70,50,20,20,23,0,17
2011,Ray Lewis,1,4,0,4,7,2,0,0,0,0,2.0,95,72,23,3,4,0,10
2011,Clay Matthews,3,47,1,38,9,3,0,0,0,0,6.0,50,37,13,8,25,0,9
2011,James Harrison,0,0,0,0,0,2,0,0,0,0,9.0,59,48,11,13,16,0,10
2011,Brian Urlacher,3,7,0,8,7,0,0,2,29,1,0.0,102,84,18,9,0,0,12
2011,Von Miller,0,0,0,0,4,3,0,0,0,0,11.5,64,50,14,19,29,0,12
2011,Brian Cushing,2,5,0,5,5,2,0,0,0,0,4.0,114,76,38,8,13,0,14
2011,Jonathan Vilma,0,0,0,0,2,1,0,3,0,1,0.0,54,36,18,1,1,0,6
2011,LaMarr Woodley,1,1,0,1,2,0,0,0,0,0,9.0,39,26,13,10,13,0,7
2011,Lance Briggs,1,0,0,0,4,2,0,0,0,0,0.0,105,86,19,9,1,0,11
2011,Derrick Johnson,2,18,0,17,9,1,0,1,0,0,2.0,131,104,27,10,3,0,14
2011,NaVorro Bowman,0,0,0,0,8,0,0,3,0,0,2.0,143,111,32,13,6,0,19
2011,London Fletcher,2,0,0,0,8,2,0,0,0,0,1.5,166,96,70,5,8,0,12
2011,D'Qwell Jackson,1,24,0,24,3,1,0,3,1,0,3.5,158,116,42,12,8,0,10
2012,Aldon Smith,1,6,0,6,1,3,0,0,0,0,19.5,66,50,16,18,29,0,15
2012,Von Miller,1,26,1,26,2,6,0,0,0,0,18.5,68,55,13,28,25,0,18
2012,Patrick Willis,2,2,0,2,9,2,0,1,3,0,0.5,120,88,32,5,3,0,15
2012,DeMarcus Ware,0,0,0,0,0,5,0,1,0,0,11.5,56,33,23,9,23,0,11
2012,Clay Matthews,0,0,0,0,3,1,0,0,0,0,13.0,43,32,11,15,24,0,10
2012,NaVorro Bowman,1,11,0,11,7,1,0,0,0,0,2.0,148,96,52,6,4,0,15
