,Year,Player,Tgt,Rec,Rec Yds,Rec Y/R,Rec TD,Rec 1D,Rec Lng,R/G,Rec Y/G,Ctch%,Y/Tgt,Rush,Rush Yds,Rush TD,Rush 1D,Rush Lng,Rush Y/A,Rush Y/G,A/G,Touch,Y/Tch,YScm,RRTD,Fmb,AV
18,2011,Andre Johnson,51,33,492,14.9,2,23,50,4.7,70.3,0.647058824,9.6,1,8,0,0,8,8,1.1,0.1,34,14.7,500,2,0,4
19,2011,Wes Welker,173,122,1569,12.9,9,77,99,7.6,98.1,0.705202312,9.1,4,30,0,2,19,7.5,1.9,0.3,126,12.7,1599,9,1,17
20,2011,Steve Smith,129,79,1394,17.6,7,53,77,4.9,87.1,0.612403101,10.8,6,56,0,3,23,9.3,3.5,0.4,85,17.1,1450,7,3,14
21,2011,Victor Cruz,131,82,1536,18.7,9,59,99,5.1,96,0.625954198,11.7,1,3,0,0,3,3,0.2,0.1,83,18.5,1539,9,1,13
22,2011,Mike Wallace,114,72,1193,16.6,8,53,95,4.5,74.6,0.631578947,10.5,5,57,0,4,21,11.4,3.6,0.3,77,16.2,1250,8,1,10
23,2011,Greg Jennings,101,67,949,14.2,9,43,79,5.2,73,0.663366337,9.4,0,0,0,0,0,0,0,0,67,14.2,949,9,0,12
24,2011,Roddy White,180,100,1296,13,8,77,43,6.3,81,0.555555556,7.2,0,0,0,0,0,0,0,0,100,13,1296,8,0,13
25,2011,DeSean Jackson,104,58,961,16.6,4,39,62,3.9,64.1,0.557692308,9.2,7,41,0,2,18,5.9,2.7,0.5,65,15.4,1002,4,1,8
26,2011,A. J. Green,115,65,1057,16.3,7,40,58,4.3,70.5,0.565217391,9.2,5,53,0,3,22,10.6,3.5,0.3,70,15.9,1110,7,1,10
27,2011,Jordy Nelson,96,68,1263,18.6,15,47,93,4.3,78.9,0.708333333,13.2,0,0,0,0,0,0,0,0,68,18.6,1263,15,0,15
28,2011,Hakeem Nicks,133,76,1192,15.7,7,54,68,5.1,79.5,0.571428571,9,0,0,0,0,0,0,0,0,76,15.7,1192,7,0,10
29,2012,Calvin Johnson,204,122,1964,16.1,5,92,53,7.6,122.8,0.598039216,9.6,0,0,0,0,0,0,0,0,122,16.1,1964,5,3,14
30,2012,Andre Johnson,162,112,1598,14.3,4,79,60,7,99.9,0.691358025,9.9,0,0,0,0,0,0,0,0,112,14.3,1598,4,0,13
31,2012,A. J. Green,164,97,1350,13.9,11,61,73,6.1,84.4,0.591463415,8.2,4,38,0,2,20,9.5,2.4,0.3,101,13.7,1388,11,2,13
32,2012,Reggie Wayne,195,106,1355,12.8,5,73,33,6.6,84.7,0.543589744,6.9,1,-5,0,0,-5,-5,-0.3,0.1,107,12.6,1350,5,1,11
33,2012,Larry Fitzgerald,156,71,798,11.2,4,45,37,4.4,49.9,0.455128205,5.1,0,0,0,0,0,0,0,0,71,11.2,798,4,0,5
34,2012,Julio Jones,128,79,1198,15.2,10,56,80,4.9,74.9,0.6171875,9.4,6,30,0,3,18,5,1.9,0.4,85,14.4,1228,10,0,13
35,2012,Brandon Marshall,192,118,1508,12.8,11,74,56,7.4,94.3,0.614583333,7.9,1,-2,0,0,-2,-2,-0.1,0.1,119,12.7,1506,11,2,14
36,2012,Dez Bryant,138,92,1382,15,12,54,85,5.8,86.4,0.666666667,10,2,-5,0,0,6,-2.5,-0.3,0.1,94,14.6,1377,12,5,11
37,2012,Roddy White,142,92,1351,14.7,7,73,59,5.8,84.4,0.647887324,9.5,0,0,0,0,0,0,0,0,92,14.7,1351,7,1,14
38,2012,Wes Welker,174,118,1354,11.5,6,71,59,7.4,84.6,0.67816092,7.8,2,20,0,2,11,10,1.3,0.1,120,11.5,1374,6,3,15
39,2012,Vincent Jackson,147,72,1384,19.2,8,61,95,4.5,86.5,0.489795918,9.4,0,0,0,0,0,0,0,0,72,19.2,1384,8,0,13
40,2012,Victor Cruz,143,86,1092,12.7,10,52,80,5.4,68.3,0.601398601,7.6,0,0,0,0,0,0,0,0,86,12.7,1092,10,0,12
41,2012,Dwayne Bowe,114,59,801,13.6,3,44,47,4.5,61.6,0.51754386,7,0,0,0,0,0,0,0,0,59,13.6,801,3,1,5
42,2012,Demaryius Thomas,143,94,1434,15.3,10,60,71,5.9,89.6,0.657342657,10,0,0,0,0,0,0,0,0,94,15.3,1434,10,3,13
43,2012,Steve Smith,137,73,1174,16.1,4,52,66,4.6,73.4,0.532846715,8.6,3,27,0,1,15,9,1.7,0.2,76,15.8,1201,4,1,10
44,2012,Percy Harvin,85,62,677,10.9,3,37,45,6.9,75.2,0.729411765,8,22,96,1,7,20,4.4,10.7,2.4,84,9.2,773,4,2,9
45,2012,Anquan Boldin,112,65,921,14.2,4,45,43,4.3,61.4,0.580357143,8.2,1,3,0,0,3,3,0.2,0.1,66,14,924,4,0,9
46,2013,Calvin Johnson,156,84,1492,17.8,12,69,87,6,106.6,0.538461538,9.6,0,0,0,0,0,0,0,0,84,17.8,1492,12,1,12
47,2013,A. J. Green,178,98,1426,14.6,11,65,82,6.1,89.1,0.550561798,8,0,0,0,0,0,0,0,0,98,14.6,1426,11,1,13
48,2013,Josh Gordon,159,87,1646,18.9,9,64,95,6.2,117.6,0.547169811,10.4,5,88,0,4,34,17.6,6.3,0.4,92,18.8,1734,9,0,10
49,2013,Andre Johnson,181,109,1407,12.9,5,69,62,6.8,87.9,0.602209945,7.8,0,0,0,0,0,0,0,0,109,12.9,1407,5,0,8
50,2013,Antonio Brown,167,110,1499,13.6,8,70,56,6.9,93.7,0.658682635,9,7,4,0,2,10,0.6,0.3,0.4,117,12.8,1503,8,1,14
51,2013,Dez Bryant,159,93,1233,13.3,13,68,79,5.8,77.1,0.58490566,7.8,1,1,0,0,1,1,0.1,0.1,94,13.1,1234,13,3,12
52,2013,Brandon Marshall,164,100,1295,13,12,70,44,6.3,80.9,0.609756098,7.9,0,0,0,0,0,0,0,0,100,13,1295,12,0,12
53,2013,Larry Fitzgerald,135,82,954,11.6,10,49,75,5.1,59.6,0.607407407,7.1,2,8,0,0,4,4,0.5,0.1,84,11.5,962,10,1,7
54,2013,Vincent Jackson,160,78,1224,15.7,7,60,60,4.9,76.5,0.4875,7.7,1,0,0,0,0,0,0,0.1,79,15.5,1224,7,1,10
55,2013,Demaryius Thomas,142,92,1430,15.5,14,66,78,5.8,89.4,0.647887324,10.1,0,0,0,0,0,0,0,0,92,15.5,1430,14,1,14
56,2013,Alshon Jeffery,148,89,1421,16,7,62,80,5.6,88.8,0.601351351,9.6,16,105,0,7,38,6.6,6.6,1,105,14.5,1526,7,3,14
57,2013,DeSean Jackson,126,82,1332,16.2,9,60,61,5.1,83.3,0.650793651,10.6,3,2,0,0,8,0.7,0.1,0.2,85,15.7,1334,9,1,11
58,2013,Wes Welker,111,73,778,10.7,10,49,33,5.6,59.8,0.657657658,7,0,0,0,0,0,0,0,0,73,10.7,778,10,1,7
59,2013,Pierre Garçon,181,113,1346,11.9,5,61,53,7.1,84.1,0.624309392,7.4,2,19,0,1,10,9.5,1.2,0.1,115,11.9,1365,5,1,9
60,2013,Jordy Nelson,127,85,1314,15.5,8,60,76,5.3,82.1,0.669291339,10.3,0,0,0,0,0,0,0,0,85,15.5,1314,8,0,11
61,2014,Calvin Johnson,128,71,1077,15.2,8,59,67,5.5,82.8,0.5546875,8.4,0,0,0,0,0,0,0,0,71,15.2,1077,8,0,9
62,2014,Antonio Brown,181,129,1698,13.2,13,87,63,8.1,106.1,0.712707182,9.4,4,13,0,0,9,3.3,0.8,0.3,133,12.9,1711,13,2,16
63,2014,Julio Jones,163,104,1593,15.3,6,76,79,6.9,106.2,0.63803681,9.8,1,1,0,1,1,1,0.1,0.1,105,15.2,1594,6,2,14
64,2014,Dez Bryant,136,88,1320,15,16,60,68,5.5,82.5,0.647058824,9.7,0,0,0,0,0,0,0,0,88,15,1320,16,0,14
65,2014,Jordy Nelson,151,98,1519,15.5,13,71,80,6.1,94.9,0.649006623,10.1,0,0,0,0,0,0,0,0,98,15.5,1519,13,0,19
66,2014,Demaryius Thomas,184,111,1619,14.6,11,69,86,6.9,101.2,0.60326087,8.8,0,0,0,0,0,0,0,0,111,14.6,1619,11,0,16
67,2014,Odell Beckham Jr.,130,91,1305,14.3,12,58,80,7.6,108.8,0.7,10,7,35,0,2,13,5,2.9,0.6,98,13.7,1340,12,1,11
68,2014,T.Y. Hilton,131,82,1345,16.4,7,64,73,5.5,89.7,0.625954198,10.3,2,20,0,1,15,10,1.3,0.1,84,16.3,1365,7,3,12
69,2014,A. J. Green,117,69,1041,15.1,6,46,81,5.3,80.1,0.58974359,8.9,2,2,0,0,5,1,0.2,0.2,71,14.7,1043,6,3,9
70,2014,DeSean Jackson,95,56,1169,20.9,6,37,81,3.7,77.9,0.589473684,12.3,4,7,0,1,9,1.8,0.5,0.3,60,19.6,1176,6,0,8
71,2014,Steve Smith,134,79,1065,13.5,6,45,80,4.9,66.6,0.589552239,7.9,0,0,0,0,0,0,0,0,79,13.5,1065,6,2,10
72,2014,Brandon Marshall,106,61,721,11.8,8,41,47,4.7,55.5,0.575471698,6.8,0,0,0,0,0,0,0,0,61,11.8,721,8,1,6
73,2014,Jeremy Maclin,143,85,1318,15.5,10,56,72,5.3,82.4,0.594405594,9.2,0,0,0,0,0,0,0,0,85,15.5,1318,10,0,9
74,2014,Larry Fitzgerald,103,63,784,12.4,2,39,80,4.5,56,0.611650485,7.6,0,0,0,0,0,0,0,0,63,12.4,784,2,1,6
75,2014,Mike Evans,122,68,1051,15.5,12,46,56,4.5,70.1,0.557377049,8.6,0,0,0,0,0,0,0,0,68,15.5,1051,12,0,8
76,2014,Golden Tate,144,99,1331,13.4,4,61,73,6.2,83.2,0.6875,9.2,5,30,0,1,13,6,1.9,0.3,104,13.1,1361,4,1,11
77,2014,Julian Edelman,134,92,972,10.6,4,50,69,6.6,69.4,0.686567164,7.3,10,94,0,7,25,9.4,6.7,0.7,102,10.5,1066,4,3,13
78,2014,Emmanuel Sanders,141,101,1404,13.9,9,69,48,6.3,87.8,0.716312057,10,8,44,0,3,13,5.5,2.8,0.5,109,13.3,1448,9,1,14
79,2014,Randall Cobb,127,91,1287,14.1,12,71,70,5.7,80.4,0.716535433,10.1,11,37,0,1,12,3.4,2.3,0.7,102,13,1324,12,3,16
80,2015,Antonio Brown,193,136,1834,13.5,10,84,59,8.5,114.6,0.704663212,9.5,3,28,0,1,16,9.3,1.8,0.2,139,13.4,1862,10,3,17
81,2015,Julio Jones,203,136,1871,13.8,8,93,70,8.5,116.9,0.669950739,9.2,0,0,0,0,0,0,0,0,136,13.8,1871,8,3,16
82,2015,Odell Beckham Jr.,158,96,1450,15.1,13,68,87,6.4,96.7,0.607594937,9.2,1,3,0,1,3,3,0.2,0.1,97,15,1453,13,2,13
83,2015,A.J. Green,132,86,1297,15.1,10,63,80,5.4,81.1,0.651515152,9.8,0,0,0,0,0,0,0,0,86,15.1,1297,10,1,13
84,2015,DeAndre Hopkins,192,111,1521,13.7,11,83,61,6.9,95.1,0.578125,7.9,0,0,0,0,0,0,0,0,111,13.7,1521,11,1,11
85,2015,Brandon Marshall,173,109,1502,13.8,14,76,69,6.8,93.9,0.630057803,8.7,0,0,0,0,0,0,0,0,109,13.8,1502,14,3,13
86,2015,Larry Fitzgerald,145,109,1215,11.1,9,65,44,6.8,75.9,0.751724138,8.4,0,0,0,0,0,0,0,0,109,11.1,1215,9,2,11
87,2015,Allen Robinson,151,80,1400,17.5,14,61,90,5,87.5,0.529801325,9.3,0,0,0,0,0,0,0,0,80,17.5,1400,14,0,11
88,2015,Dez Bryant,72,31,401,12.9,3,18,51,3.4,44.6,0.430555556,5.6,0,0,0,0,0,0,0,0,31,12.9,401,3,0,2
89,2015,Demaryius Thomas,177,105,1304,12.4,6,63,72,6.6,81.5,0.593220339,7.4,0,0,0,0,0,0,0,0,105,12.4,1304,6,2,9
90,2015,Doug Baldwin,103,78,1069,13.7,14,49,80,4.9,66.8,0.757281553,10.4,0,0,0,0,0,0,0,0,78,13.7,1069,14,1,11
91,2015,Emmanuel Sanders,136,76,1135,14.9,6,51,75,5.1,75.7,0.558823529,8.3,3,29,0,1,24,9.7,1.9,0.2,79,14.7,1164,6,2,8
92,2015,Julian Edelman,88,61,692,11.3,7,37,59,6.8,76.9,0.693181818,7.9,3,23,0,3,12,7.7,2.6,0.3,64,11.2,715,7,1,7
93,2015,Allen Hurns,105,64,1031,16.1,10,49,80,4.3,68.7,0.60952381,9.8,0,0,0,0,0,0,0,0,64,16.1,1031,10,2,8
94,2015,Jeremy Maclin,124,87,1088,12.5,8,50,61,5.8,72.5,0.701612903,8.8,3,14,0,1,18,4.7,0.9,0.2,90,12.2,1102,8,2,11
95,2015,Sammy Watkins,96,60,1047,17.5,9,41,63,4.6,80.5,0.625,10.9,1,1,0,0,1,1,0.1,0.1,61,17.2,1048,9,0,10
96,2015,Jarvis Landry,166,110,1157,10.5,4,60,50,6.9,72.3,0.662650602,7,18,113,1,8,22,6.3,7.1,1.1,128,9.9,1270,5,1,9
97,2016,Julio Jones,129,83,1409,17,6,64,75,5.9,100.6,0.643410853,10.9,0,0,0,0,0,0,0,0,83,17,1409,6,0,16
98,2016,Antonio Brown,154,106,1284,12.1,12,64,51,7.1,85.6,0.688311688,8.3,3,9,0,1,13,3,0.6,0.2,109,11.9,1293,12,0,12
99,2016,Odell Beckham Jr.,169,101,1367,13.5,10,66,75,6.3,85.4,0.597633136,8.1,1,9,0,0,9,9,0.6,0.1,102,13.5,1376,10,3,10
100,2016,A.J. Green,100,66,964,14.6,4,42,54,6.6,96.4,0.66,9.6,0,0,0,0,0,0,0,0,66,14.6,964,4,0,7
101,2016,Mike Evans,173,96,1321,13.8,12,82,45,6,82.6,0.554913295,7.6,0,0,0,0,0,0,0,0,96,13.8,1321,12,0,10
102,2016,Tyreek Hill,83,61,593,9.7,6,31,49,3.8,37.1,0.734939759,7.1,24,267,3,11,70,11.1,16.7,1.5,85,10.1,860,9,4,10
103,2016,Jarvis Landry,131,94,1136,12.1,4,53,71,5.9,71,0.717557252,8.7,5,17,0,1,13,3.4,1.1,0.3,99,11.6,1153,4,2,10
104,2016,Larry Fitzgerald,150,107,1023,9.6,6,60,33,6.7,63.9,0.713333333,6.8,2,5,0,0,4,2.5,0.3,0.1,109,9.4,1028,6,2,9
105,2016,Jordy Nelson,152,97,1257,13,14,62,60,6.1,78.6,0.638157895,8.3,0,0,0,0,0,0,0,0,97,13,1257,14,1,12
106,2016,Amari Cooper,132,83,1153,13.9,5,49,64,5.2,72.1,0.628787879,8.7,1,0,0,0,0,0,0,0.1,84,13.7,1153,5,2,10
107,2016,Dez Bryant,96,50,796,15.9,8,38,56,3.8,61.2,0.520833333,8.3,0,0,0,0,0,0,0,0,50,15.9,796,8,1,8
108,2016,T.Y. Hilton,155,91,1448,15.9,6,66,63,5.7,90.5,0.587096774,9.3,0,0,0,0,0,0,0,0,91,15.9,1448,6,0,14
109,2016,Julian Edelman,159,98,1106,11.3,3,56,77,6.1,69.1,0.616352201,7,12,57,0,3,9,4.8,3.6,0.8,110,10.6,1163,3,3,11
110,2016,Doug Baldwin,125,94,1128,12,7,51,59,5.9,70.5,0.752,9,3,2,0,0,4,0.7,0.1,0.2,97,11.6,1130,7,1,10
111,2017,Antonio Brown,163,101,1533,15.2,9,69,57,7.2,109.5,0.619631902,9.4,0,0,0,0,0,0,0,0,101,15.2,1533,9,4,14
112,2017,Julio Jones,148,88,1444,16.4,3,67,53,5.5,90.3,0.594594595,9.8,1,15,0,1,15,15,0.9,0.1,89,16.4,1459,3,0,14
113,2017,DeAndre Hopkins,174,96,1378,14.4,13,69,72,6.4,91.9,0.551724138,7.9,0,0,0,0,0,0,0,0,96,14.4,1378,13,1,10
114,2017,A. J. Green,143,75,1078,14.4,8,55,77,4.7,67.4,0.524475524,7.5,0,0,0,0,0,0,0,0,75,14.4,1078,8,2,10
115,2017,Larry Fitzgerald,161,109,1156,10.6,6,65,37,6.8,72.3,0.677018634,7.2,0,0,0,0,0,0,0,0,109,10.6,1156,6,1,8
116,2017,Adam Thielen,142,91,1276,14,4,59,65,5.7,79.8,0.64084507,9,1,11,0,1,11,11,0.7,0.1,92,14,1287,4,3,13
117,2017,Tyreek Hill,105,75,1183,15.8,7,40,79,5,78.9,0.714285714,11.3,17,59,0,3,16,3.5,3.9,1.1,92,13.5,1242,7,2,13
118,2017,Keenan Allen,159,102,1393,13.7,6,74,51,6.4,87.1,0.641509434,8.8,2,9,0,0,6,4.5,0.6,0.1,104,13.5,1402,6,1,11
119,2017,Davante Adams,117,74,885,12,10,46,55,5.3,63.2,0.632478632,7.6,0,0,0,0,0,0,0,0,74,12,885,10,0,8
120,2017,Jarvis Landry,161,112,987,8.8,9,62,49,7,61.7,0.695652174,6.1,1,-7,0,0,-7,-7,-0.4,0.1,113,8.7,980,9,4,7
121,2017,Stefon Diggs,95,64,849,13.3,8,42,59,4.6,60.6,0.673684211,8.9,8,13,0,1,9,1.6,0.9,0.6,72,12,862,8,0,9
122,2017,Odell Beckham Jr.,41,25,302,12.1,3,14,48,6.3,75.5,0.609756098,7.4,1,8,0,0,8,8,2,0.3,26,11.9,310,3,0,2
123,2017,Michael Thomas,149,104,1245,12,5,71,43,6.5,77.8,0.697986577,8.4,0,0,0,0,0,0,0,0,104,12,1245,5,0,14
124,2017,Doug Baldwin,116,75,991,13.2,8,44,54,4.7,61.9,0.646551724,8.5,2,-8,0,0,-3,-4,-0.5,0.1,77,12.8,983,8,0,8
125,2018,Antonio Brown,168,104,1297,12.5,15,63,78,6.9,86.5,0.619047619,7.7,0,0,0,0,0,0,0,0,104,12.5,1297,15,0,10
126,2018,Julio Jones,170,113,1677,14.8,8,80,58,7.1,104.8,0.664705882,9.9,2,12,0,1,11,6,0.8,0.1,115,14.7,1689,8,2,14
127,2018,DeAndre Hopkins,163,115,1572,13.7,11,85,49,7.2,98.3,0.705521472,9.6,1,-7,0,0,-7,-7,-0.4,0.1,116,13.5,1565,11,2,13
128,2018,Michael Thomas,147,125,1405,11.2,9,82,72,7.8,87.8,0.850340136,9.6,0,0,0,0,0,0,0,0,125,11.2,1405,9,2,16
129,2018,Tyreek Hill,137,87,1479,17,12,66,75,5.4,92.4,0.635036496,10.8,22,151,1,8,33,6.9,9.4,1.4,109,15,1630,13,0,18
130,2018,Odell Beckham Jr.,124,77,1052,13.7,6,50,51,6.4,87.7,0.620967742,8.5,5,19,0,2,11,3.8,1.6,0.4,82,13.1,1071,6,2,9
131,2018,Adam Thielen,153,113,1373,12.2,9,74,68,7.1,85.8,0.738562092,9,5,30,0,1,15,6,1.9,0.3,118,11.9,1403,9,1,11
132,2018,Davante Adams,169,111,1386,12.5,13,64,57,7.4,92.4,0.656804734,8.2,0,0,0,0,0,0,0,0,111,12.5,1386,13,0,10
133,2018,Keenan Allen,136,97,1196,12.3,6,66,54,6.1,74.8,0.713235294,8.8,9,75,0,4,28,8.3,4.7,0.6,106,12,1271,6,3,12
134,2018,JuJu Smith-Schuster,166,111,1426,12.8,7,67,97,6.9,89.1,0.668674699,8.6,1,13,0,1,13,13,0.8,0.1,112,12.8,1439,7,1,11
135,2018,Mike Evans,138,86,1524,17.7,8,68,72,5.4,95.3,0.623188406,11,0,0,0,0,0,0,0,0,86,17.7,1524,8,2,11
136,2018,A. J. Green,77,46,694,15.1,6,37,38,5.1,77.1,0.597402597,9,0,0,0,0,0,0,0,0,46,15.1,694,6,2,6
137,2018,Larry Fitzgerald,112,69,734,10.6,6,39,37,4.3,45.9,0.616071429,6.6,0,0,0,0,0,0,0,0,69,10.6,734,6,0,5
138,2018,Amari Cooper,107,75,1005,13.4,7,58,90,5,67,0.700934579,9.4,2,20,0,1,11,10,1.3,0.1,77,13.3,1025,7,2,8
139,2018,T. Y. Hilton,120,76,1270,16.7,6,62,68,5.4,90.7,0.633333333,10.6,0,0,0,0,0,0,0,0,76,16.7,1270,6,0,12
140,2018,Stefon Diggs,149,102,1021,10,9,49,75,6.8,68.1,0.684563758,6.9,10,62,0,3,20,6.2,4.1,0.7,112,9.7,1083,9,0,8
141,2018,Robert Woods,130,86,1219,14.2,6,74,39,5.4,76.2,0.661538462,9.4,19,157,1,9,56,8.3,9.8,1.2,105,13.1,1376,7,0,14
142,2018,Jarvis Landry,149,81,976,12,4,44,51,5.1,61,0.543624161,6.6,3,60,1,2,51,20,3.8,0.2,84,12.3,1036,5,1,8
143,2018,Julian Edelman,108,74,850,11.5,6,63,36,6.2,70.8,0.685185185,7.9,9,107,0,7,20,11.9,8.9,0.8,83,11.5,957,6,1,9
144,2018,Tyler Lockett,70,57,965,16.9,10,40,52,3.6,60.3,0.814285714,13.8,13,69,0,3,18,5.3,4.3,0.8,70,14.8,1034,10,2,10
145,2019,Michael Thomas,185,149,1725,11.6,9,91,49,9.3,107.8,0.805405405,9.3,1,-9,0,0,-9,-9,-0.6,0.1,150,11.4,1716,9,1,17
146,2019,DeAndre Hopkins,150,104,1165,11.2,7,68,43,6.9,77.7,0.693333333,7.8,2,18,0,2,12,9,1.2,0.1,106,11.2,1183,7,0,11
147,2019,Julio Jones,157,99,1394,14.1,6,77,54,6.6,92.9,0.630573248,8.9,2,-3,0,0,1,-1.5,-0.2,0.1,101,13.8,1391,6,1,11
148,2019,Tyreek Hill,89,58,860,14.8,7,39,57,4.8,71.7,0.651685393,9.7,8,23,0,1,5,2.9,1.9,0.7,66,13.4,883,7,0,9
149,2019,Mike Evans,118,67,1157,17.3,8,54,67,5.2,89,0.56779661,9.8,0,0,0,0,0,0,0,0,67,17.3,1157,8,0,9
150,2019,Chris Godwin,121,86,1333,15.5,9,63,71,6.1,95.2,0.710743802,11,1,8,0,0,8,8,0.6,0.1,87,15.4,1341,9,0,10
151,2019,Amari Cooper,119,79,1189,15.1,8,54,53,4.9,74.3,0.663865546,10,1,6,0,0,6,6,0.4,0.1,80,14.9,1195,8,0,9
152,2019,Stefon Diggs,94,63,1130,17.9,6,41,66,4.2,75.3,0.670212766,12,5,61,0,3,27,12.2,4.1,0.3,68,17.5,1191,6,4,13
153,2019,Davante Adams,127,83,997,12,5,54,58,6.9,83.1,0.653543307,7.9,0,0,0,0,0,0,0,0,83,12,997,5,2,9
154,2019,Odell Beckham Jr.,133,74,1035,14,4,44,89,4.6,64.7,0.556390977,7.8,3,10,0,1,11,3.3,0.6,0.2,77,13.6,1045,4,1,9
155,2019,Jarvis Landry,138,83,1174,14.1,6,55,65,5.2,73.4,0.601449275,8.5,1,10,0,1,10,10,0.6,0.1,84,14.1,1184,6,0,10
156,2019,Tyler Lockett,110,82,1057,12.9,8,53,44,5.1,66.1,0.745454545,9.6,4,-5,0,0,3,-1.3,-0.3,0.3,86,12.2,1052,8,1,9
157,2019,Larry Fitzgerald,109,75,804,10.7,4,40,54,4.7,50.3,0.688073394,7.4,0,0,0,0,0,0,0,0,75,10.7,804,4,1,7
158,2019,Keenan Allen,149,104,1199,11.5,6,63,45,6.5,74.9,0.697986577,8,3,16,0,1,18,5.3,1,0.2,107,11.4,1215,6,0,10
159,2019,DK Metcalf,100,58,900,15.5,7,39,54,3.6,56.3,0.58,9,2,11,0,0,7,5.5,0.7,0.1,60,15.2,911,7,3,8
160,2019,Cooper Kupp,134,94,1161,12.4,10,51,66,5.9,72.6,0.701492537,8.7,2,4,0,0,6,2,0.3,0.1,96,12.1,1165,10,3,9
161,2019,Allen Robinson,154,98,1147,11.7,7,63,49,6.1,71.7,0.636363636,7.4,1,2,0,0,2,2,0.1,0.1,99,11.6,1149,7,0,9
162,2020,Davante Adams,149,115,1374,11.9,18,73,56,8.2,98.1,0.771812081,9.2,0,0,0,0,0,0,0,0,115,11.9,1374,18,1,16
163,2020,DeAndre Hopkins,160,115,1407,12.2,6,75,60,7.2,87.9,0.71875,8.8,1,1,0,0,1,1,0.1,0.1,116,12.1,1408,6,3,12
164,2020,Stefon Diggs,166,127,1535,12.1,8,73,55,7.9,95.9,0.765060241,9.2,1,1,0,0,1,1,0.1,0.1,128,12,1536,8,0,15
165,2020,Tyreek Hill,135,87,1276,14.7,15,57,75,5.8,85.1,0.644444444,9.5,13,123,2,5,32,9.5,8.2,0.9,100,14,1399,17,1,12
166,2020,DK Metcalf,129,83,1303,15.7,10,63,62,5.2,81.4,0.643410853,10.1,0,0,0,0,0,0,0,0,83,15.7,1303,10,1,13
167,2020,Julio Jones,68,51,771,15.1,3,36,44,5.7,85.7,0.75,11.3,0,0,0,0,0,0,0,0,51,15.1,771,3,0,6
