"","Player","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"63","Cameron Wake","63_MIA_DE",NA,"89_MIA_LB","66_MIA_DE","39_MIA_DE",NA,"62_MIA_DE","74_MIA_DE",NA,NA,NA
"64","Tamba Hali","64_KC_DE","34_KC_DE",NA,"43_KC_LB","70_KC_LB","84_KC_LB",NA,NA,NA,NA,NA
"65","Vonta Leach","65_HOU_FB","45_BAL_FB",NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","Richard Seymour","66_LV_DT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","Brian Waters","67_KC_G",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","Antrel Rolle","68_NYG_S",NA,NA,"72_NYG_S",NA,NA,NA,NA,NA,NA,NA
"69","John Abraham","69_ATL_DE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","Miles Austin","70_DAL_WR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","Mario Williams","71_HOU_DE",NA,"72_BUF_DE","29_BUF_DE","42_BUF_DE",NA,NA,NA,NA,NA,NA
"72","Tony Romo","72_DAL_QB","91_DAL_QB",NA,"71_DAL_QB","34_DAL_QB",NA,NA,NA,NA,NA,NA
"73","Trent Cole","73_PHI_DE","57_PHI_DE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","Greg Jennings","74_GB_WR","56_GB_WR",NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","Jay Ratliff","75_DAL_DT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","Santonio Holmes","76_NYJ_WR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","Chris Snee","77_NYG_G",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","Dallas Clark","78_IND_TE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","D'Brickashaw Ferguson","79_NYJ_OT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","Jared Allen","80_MIN_DE","13_MIN_DE","60_MIN_DE","68_MIN_DE",NA,NA,NA,NA,NA,NA,NA
"81","B. J. Raji","81_GB_DT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","LaMarr Woodley","82_PIT_LB","63_PIT_LB",NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","Mike Williams","83_TB_WR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","Josh Cribbs","84_CLV_WR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","Jason Babin","85_TEN_DE","44_PHI_DE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","Josh Freeman","86_TB_QB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","Jordan Gross","87_CAR_OT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","Vernon Davis","88_SF_TE","43_SF_TE","38_SF_TE","51_SF_TE",NA,NA,NA,NA,NA,NA,NA
"89","Adrian Wilson","89_ARI_S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
